PNL Durations: NeuronLayer: 1.18ms | WindowMeans: 0.16ms | WindowWeighting: 30.76ms | CombineLayer: 0.07ms
PNL Durations: NeuronLayer: 1.22ms | WindowMeans: 0.15ms | WindowWeighting: 32.01ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 2.12ms | WindowMeans: 0.19ms | WindowWeighting: 67.29ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 1.44ms | WindowMeans: 0.15ms | WindowWeighting: 32.26ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.07ms | WindowMeans: 0.16ms | WindowWeighting: 31.12ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.00ms | WindowMeans: 0.18ms | WindowWeighting: 33.12ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.35ms | WindowMeans: 0.36ms | WindowWeighting: 118.49ms | CombineLayer: 0.28ms
PNL Durations: NeuronLayer: 1.58ms | WindowMeans: 0.32ms | WindowWeighting: 215.92ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.30ms | WindowMeans: 0.19ms | WindowWeighting: 38.15ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.63ms | WindowMeans: 0.21ms | WindowWeighting: 30.72ms | CombineLayer: 0.08ms
PNL Durations: NeuronLayer: 1.39ms | WindowMeans: 0.21ms | WindowWeighting: 34.59ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 0.97ms | WindowMeans: 0.16ms | WindowWeighting: 31.17ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 1.41ms | WindowMeans: 0.16ms | WindowWeighting: 32.45ms | CombineLayer: 0.15ms
PNL Durations: NeuronLayer: 0.96ms | WindowMeans: 0.18ms | WindowWeighting: 31.43ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.14ms | WindowMeans: 0.23ms | WindowWeighting: 31.41ms | CombineLayer: 0.14ms
PNL Durations: NeuronLayer: 1.29ms | WindowMeans: 0.14ms | WindowWeighting: 30.69ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 1.04ms | WindowMeans: 0.17ms | WindowWeighting: 30.40ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 1.04ms | WindowMeans: 0.17ms | WindowWeighting: 30.76ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 1.43ms | WindowMeans: 0.21ms | WindowWeighting: 100.50ms | CombineLayer: 0.16ms
PNL Durations: NeuronLayer: 1.30ms | WindowMeans: 0.18ms | WindowWeighting: 33.02ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.16ms | WindowMeans: 0.16ms | WindowWeighting: 34.23ms | CombineLayer: 0.08ms
PNL Durations: NeuronLayer: 1.00ms | WindowMeans: 0.26ms | WindowWeighting: 33.35ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.82ms | WindowMeans: 0.32ms | WindowWeighting: 51.35ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 0.96ms | WindowMeans: 0.16ms | WindowWeighting: 32.84ms | CombineLayer: 0.13ms
PNL Durations: NeuronLayer: 0.93ms | WindowMeans: 0.19ms | WindowWeighting: 31.64ms | CombineLayer: 0.08ms
