DEBUG: forward() timings: Index: 0.00ms | Embed: 1.58ms | Neuron: 224.55ms | Memory: 1.80ms | Output: 0.17ms | Total: 228.12ms
DEBUG: forward() timings: Index: 0.00ms | Embed: 0.42ms | Neuron: 198.22ms | Memory: 1.58ms | Output: 0.07ms | Total: 200.29ms
DEBUG: forward() timings: Index: 0.00ms | Embed: 0.49ms | Neuron: 222.14ms | Memory: 1.52ms | Output: 0.07ms | Total: 224.22ms
DEBUG: forward() timings: Index: 0.00ms | Embed: 0.47ms | Neuron: 566.99ms | Memory: 1.57ms | Output: 0.07ms | Total: 569.11ms
inner step 4: forward: 569.19ms | predict: 2.34ms | loss: 0.64ms
DEBUG: forward() timings: Index: 0.00ms | Embed: 1.40ms | Neuron: 191.80ms | Memory: 1.47ms | Output: 0.09ms | Total: 194.78ms
DEBUG: forward() timings: Index: 0.00ms | Embed: 0.69ms | Neuron: 192.22ms | Memory: 1.30ms | Output: 0.06ms | Total: 194.28ms
DEBUG: forward() timings: Index: 0.00ms | Embed: 0.47ms | Neuron: 191.77ms | Memory: 1.32ms | Output: 0.06ms | Total: 193.63ms
DEBUG: forward() timings: Index: 0.00ms | Embed: 0.46ms | Neuron: 643.09ms | Memory: 1.32ms | Output: 0.06ms | Total: 644.94ms
inner step 4: forward: 645.27ms | predict: 2.17ms | loss: 0.32ms
DEBUG: forward() timings: Index: 0.00ms | Embed: 1.31ms | Neuron: 243.43ms | Memory: 1.72ms | Output: 0.09ms | Total: 246.57ms
